State,Voltage(V),Current(A)
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0.1,2.43857E-08
1,0.2,5.59571E-08
1,0.3,9.89286E-08
1,0.4,1.52857E-07
1,0.5,2.19714E-07
1,0.6,3.00857E-07
1,0.7,0.000000402
1,0.8,5.25571E-07
1,0.9,6.66714E-07
1,1,8.36286E-07
1,1.1,9.99143E-07
1,1.2,1.18286E-06
1,1.3,1.42286E-06
1,1.4,0.00000168
1,1.5,0.00000195
1,1.6,2.30143E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.6,2.30143E-06
1,1.5,0.00000195
1,1.4,0.00000168
1,1.3,1.42286E-06
1,1.2,1.18286E-06
1,1.1,9.99143E-07
1,1,8.36286E-07
1,0.9,6.66714E-07
1,0.8,5.25571E-07
1,0.7,0.000000402
1,0.6,3.00857E-07
1,0.5,2.19714E-07
1,0.4,1.52857E-07
1,0.3,9.89286E-08
1,0.2,5.59571E-08
1,0.1,2.43857E-08
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0.1,2.43857E-08
1,0.2,5.59571E-08
1,0.3,9.89286E-08
1,0.4,1.52857E-07
1,0.5,2.19714E-07
1,0.6,3.00857E-07
1,0.7,0.000000402
1,0.8,5.25571E-07
1,0.9,6.66714E-07
1,1,8.36286E-07
1,1.1,9.99143E-07
1,1.2,1.18286E-06
1,1.3,1.42286E-06
1,1.4,0.00000168
1,1.5,0.00000195
1,1.6,2.30143E-06
1,1.7,2.68857E-06
1,1.8,3.02429E-06
1,1.9,3.49286E-06
1,2,4.04714E-06
1,2.1,0.00000453
1,2.2,4.98429E-06
1,2.3,5.61571E-06
1,2.4,6.15143E-06
1,2.5,6.82286E-06
0,2.6,0.004999257
0,2.7,0.004999371
0,2.8,0.0049992
0,2.9,0.0049994
0,3,0.0049994
0,3.1,0.004999257
0,3.2,0.004999543
0,3.3,0.0049994
0,3.4,0.004999286
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.4,0.004999286
0,3.3,0.0049994
0,3.2,0.004999543
0,3.1,0.004999257
0,3,0.0049994
0,2.9,0.0049994
0,2.8,0.0049992
0,2.7,0.004999371
0,2.6,0.004999257
0,2.5,0.004999343
0,2.4,0.0049992
0,2.3,0.004999371
0,2.2,0.0049992
0,2.1,0.0049994
0,2,0.0049994
0,1.9,0.0049994
0,1.8,0.004773629
0,1.7,0.004076343
0,1.6,0.003468543
0,1.5,0.0029382
0,1.4,0.0024694
0,1.3,0.00207
0,1.2,0.001722057
0,1.1,0.0014272
0,1,0.001176057
0,0.9,0.00096158
0,0.8,0.000780751
0,0.7,0.00062494
0,0.6,0.000494429
0,0.5,0.000381217
0,0.4,0.000284243
0,0.3,0.000199986
0,0.2,0.000125903
0,0.1,6.05714E-05
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0.1,6.05714E-05
0,0.2,0.000125903
0,0.3,0.000199986
0,0.4,0.000284243
0,0.5,0.000381217
0,0.6,0.000494429
0,0.7,0.00062494
0,0.8,0.000780751
0,0.9,0.00096158
0,1,0.001176057
0,1.1,0.0014272
0,1.2,0.001722057
0,1.3,0.00207
0,1.4,0.0024694
0,1.5,0.0029382
0,1.6,0.003468543
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.6,0.003468543
0,1.5,0.0029382
0,1.4,0.0024694
0,1.3,0.00207
0,1.2,0.001722057
0,1.1,0.0014272
0,1,0.001176057
0,0.9,0.00096158
0,0.8,0.000780751
0,0.7,0.00062494
0,0.6,0.000494429
0,0.5,0.000381217
0,0.4,0.000284243
0,0.3,0.000199986
0,0.2,0.000125903
0,0.1,6.05714E-05
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0.1,6.05714E-05
0,0.2,0.000125903
0,0.3,0.000199986
0,0.4,0.000284243
0,0.5,0.000381217
0,0.6,0.000494429
0,0.7,0.00062494
0,0.8,0.000780751
0,0.9,0.00096158
0,1,0.001176057
0,1.1,0.0014272
0,1.2,0.001722057
0,1.3,0.00207
0,1.4,0.0024694
0,1.5,0.0029382
0,1.6,0.003468543
0,1.7,0.004076343
0,1.8,0.004773629
0,1.9,0.0049994
0,2,0.0049994
0,2.1,0.0049994
0,2.2,0.0049992
0,2.3,0.004999371
0,2.4,0.0049992
0,2.5,0.004999343
0,2.6,0.004999257
0,2.7,0.004999371
0,2.8,0.0049992
0,2.9,0.0049994
0,3,0.0049994
0,3.1,0.004999257
0,3.2,0.004999543
0,3.3,0.0049994
0,3.4,0.004999286
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.5,0.0049994
0,3.4,0.004999286
0,3.3,0.0049994
0,3.2,0.004999543
0,3.1,0.004999257
0,3,0.0049994
0,2.9,0.0049994
0,2.8,0.0049992
0,2.7,0.004999371
0,2.6,0.004999257
0,2.5,0.004999343
0,2.4,0.0049992
0,2.3,0.004999371
0,2.2,0.0049992
0,2.1,0.0049994
0,2,0.0049994
0,1.9,0.0049994
0,1.8,0.004773629
0,1.7,0.004076343
0,1.6,0.003468543
0,1.5,0.0029382
0,1.4,0.0024694
0,1.3,0.00207
0,1.2,0.001722057
0,1.1,0.0014272
0,1,0.001176057
0,0.9,0.00096158
0,0.8,0.000780751
0,0.7,0.00062494
0,0.6,0.000494429
0,0.5,0.000381217
0,0.4,0.000284243
0,0.3,0.000199986
0,0.2,0.000125903
0,0.1,6.05714E-05
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0.1,6.05714E-05
0,0.2,0.000125903
0,0.3,0.000199986
0,0.4,0.000284243
0,0.5,0.000381217
0,0.6,0.000494429
0,0.7,0.00062494
0,0.8,0.000780751
0,0.9,0.00096158
0,1,0.001176057
0,1.1,0.0014272
0,1.2,0.001722057
0,1.3,0.00207
0,1.4,0.0024694
0,1.5,0.0029382
0,1.6,0.003468543
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.7,0.004076343
0,1.6,0.003468543
0,1.5,0.0029382
0,1.4,0.0024694
0,1.3,0.00207
0,1.2,0.001722057
0,1.1,0.0014272
0,1,0.001176057
0,0.9,0.00096158
0,0.8,0.000780751
0,0.7,0.00062494
0,0.6,0.000494429
0,0.5,0.000381217
0,0.4,0.000284243
0,0.3,0.000199986
0,0.2,0.000125903
0,0.1,6.05714E-05
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,0,0.00000138
0,-0.1,-0.000625487
0,-0.2,-0.00125164
0,-0.3,-0.001877
0,-0.4,-0.002503467
0,-0.5,-0.003123467
0,-0.6,-0.003746
0,-0.7,-0.004366
0,-0.8,-0.004998467
0,-0.9,-0.0056318
0,-1,-0.006266467
0,-1.1,-0.006905067
0,-1.2,-0.007544
0,-1.3,-0.008198467
0,-1.4,-0.008842333
0,-1.5,-0.0094912
0,-1.6,-0.0101498
0,-1.7,-0.010828133
0,-1.8,-0.011497
0,-1.9,-0.012152
0,-2,-0.012950667
0,-2.1,-0.013822
0,-2.2,-0.014691333
0,-2.3,-0.015540667
0,-2.4,-0.016402
0,-2.5,-0.017243333
0,-2.6,-0.018045333
0,-2.7,-0.018906
0,-2.8,-0.019650667
0,-2.9,-0.020346
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-2.9,-1.88667E-05
1,-2.8,-2.00667E-05
1,-2.7,-0.0000173
1,-2.6,-1.57333E-05
1,-2.5,-1.40667E-05
1,-2.4,-0.0000129
1,-2.3,-1.14667E-05
1,-2.2,-1.03033E-05
1,-2.1,-0.00000931
1,-2,-0.00000833
1,-1.9,-7.93333E-06
1,-1.8,-0.00000655
1,-1.7,-5.84333E-06
1,-1.6,-5.16667E-06
1,-1.5,-0.00000456
1,-1.4,-4.02667E-06
1,-1.3,-0.00000355
1,-1.2,-0.00000305
1,-1.1,-2.56667E-06
1,-1,-2.12333E-06
1,-0.9,-0.00000176
1,-0.8,-0.00000137
1,-0.7,-1.07167E-06
1,-0.6,-0.000000786
1,-0.5,-6.08667E-07
1,-0.4,-4.64333E-07
1,-0.3,-0.000000303
1,-0.2,-0.000000165
1,-0.1,-6.81333E-08
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0.1,2.43857E-08
1,0.2,5.59571E-08
1,0.3,9.89286E-08
1,0.4,1.52857E-07
1,0.5,2.19714E-07
1,0.6,3.00857E-07
1,0.7,0.000000402
1,0.8,5.25571E-07
1,0.9,6.66714E-07
1,1,8.36286E-07
1,1.1,9.99143E-07
1,1.2,1.18286E-06
1,1.3,1.42286E-06
1,1.4,0.00000168
1,1.5,0.00000195
1,1.6,2.30143E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.6,2.30143E-06
1,1.5,0.00000195
1,1.4,0.00000168
1,1.3,1.42286E-06
1,1.2,1.18286E-06
1,1.1,9.99143E-07
1,1,8.36286E-07
1,0.9,6.66714E-07
1,0.8,5.25571E-07
1,0.7,0.000000402
1,0.6,3.00857E-07
1,0.5,2.19714E-07
1,0.4,1.52857E-07
1,0.3,9.89286E-08
1,0.2,5.59571E-08
1,0.1,2.43857E-08
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,-0.1,-6.81333E-08
1,-0.2,-0.000000165
1,-0.3,-0.000000303
1,-0.4,-4.64333E-07
1,-0.5,-6.08667E-07
1,-0.6,-0.000000786
1,-0.7,-1.07167E-06
1,-0.8,-0.00000137
1,-0.9,-0.00000176
1,-1,-2.12333E-06
1,-1.1,-2.56667E-06
1,-1.2,-0.00000305
1,-1.3,-0.00000355
1,-1.4,-4.02667E-06
1,-1.5,-0.00000456
1,-1.6,-5.16667E-06
1,-1.7,-5.84333E-06
1,-1.8,-0.00000655
1,-1.9,-7.93333E-06
1,-2,-0.00000833
1,-2.1,-0.00000931
1,-2.2,-1.03033E-05
1,-2.3,-1.14667E-05
1,-2.4,-0.0000129
1,-2.5,-1.40667E-05
1,-2.6,-1.57333E-05
1,-2.7,-0.0000173
1,-2.8,-2.00667E-05
1,-2.9,-1.88667E-05
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-2.9,-1.88667E-05
1,-2.8,-2.00667E-05
1,-2.7,-0.0000173
1,-2.6,-1.57333E-05
1,-2.5,-1.40667E-05
1,-2.4,-0.0000129
1,-2.3,-1.14667E-05
1,-2.2,-1.03033E-05
1,-2.1,-0.00000931
1,-2,-0.00000833
1,-1.9,-7.93333E-06
1,-1.8,-0.00000655
1,-1.7,-5.84333E-06
1,-1.6,-5.16667E-06
1,-1.5,-0.00000456
1,-1.4,-4.02667E-06
1,-1.3,-0.00000355
1,-1.2,-0.00000305
1,-1.1,-2.56667E-06
1,-1,-2.12333E-06
1,-0.9,-0.00000176
1,-0.8,-0.00000137
1,-0.7,-1.07167E-06
1,-0.6,-0.000000786
1,-0.5,-6.08667E-07
1,-0.4,-4.64333E-07
1,-0.3,-0.000000303
1,-0.2,-0.000000165
1,-0.1,-6.81333E-08
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0.1,2.43857E-08
1,0.2,5.59571E-08
1,0.3,9.89286E-08
1,0.4,1.52857E-07
1,0.5,2.19714E-07
1,0.6,3.00857E-07
1,0.7,0.000000402
1,0.8,5.25571E-07
1,0.9,6.66714E-07
1,1,8.36286E-07
1,1.1,9.99143E-07
1,1.2,1.18286E-06
1,1.3,1.42286E-06
1,1.4,0.00000168
1,1.5,0.00000195
1,1.6,2.30143E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.7,2.68857E-06
1,1.6,2.30143E-06
1,1.5,0.00000195
1,1.4,0.00000168
1,1.3,1.42286E-06
1,1.2,1.18286E-06
1,1.1,9.99143E-07
1,1,8.36286E-07
1,0.9,6.66714E-07
1,0.8,5.25571E-07
1,0.7,0.000000402
1,0.6,3.00857E-07
1,0.5,2.19714E-07
1,0.4,1.52857E-07
1,0.3,9.89286E-08
1,0.2,5.59571E-08
1,0.1,2.43857E-08
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,0,2E-10
1,-0.1,-6.81333E-08
1,-0.2,-0.000000165
1,-0.3,-0.000000303
1,-0.4,-4.64333E-07
1,-0.5,-6.08667E-07
1,-0.6,-0.000000786
1,-0.7,-1.07167E-06
1,-0.8,-0.00000137
1,-0.9,-0.00000176
1,-1,-2.12333E-06
1,-1.1,-2.56667E-06
1,-1.2,-0.00000305
1,-1.3,-0.00000355
1,-1.4,-4.02667E-06
1,-1.5,-0.00000456
1,-1.6,-5.16667E-06
1,-1.7,-5.84333E-06
1,-1.8,-0.00000655
1,-1.9,-7.93333E-06
1,-2,-0.00000833
1,-2.1,-0.00000931
1,-2.2,-1.03033E-05
1,-2.3,-1.14667E-05
1,-2.4,-0.0000129
1,-2.5,-1.40667E-05
1,-2.6,-1.57333E-05
1,-2.7,-0.0000173
1,-2.8,-2.00667E-05
1,-2.9,-1.88667E-05
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-3,-0.0000017
1,-2.9,-1.88667E-05
1,-2.8,-2.00667E-05
1,-2.7,-0.0000173
1,-2.6,-1.57333E-05
1,-2.5,-1.40667E-05
1,-2.4,-0.0000129
1,-2.3,-1.14667E-05
1,-2.2,-1.03033E-05
1,-2.1,-0.00000931
1,-2,-0.00000833
1,-1.9,-7.93333E-06
1,-1.8,-0.00000655
1,-1.7,-5.84333E-06
1,-1.6,-5.16667E-06
1,-1.5,-0.00000456
1,-1.4,-4.02667E-06
1,-1.3,-0.00000355
1,-1.2,-0.00000305
1,-1.1,-2.56667E-06
1,-1,-2.12333E-06
1,-0.9,-0.00000176
1,-0.8,-0.00000137
1,-0.7,-1.07167E-06
1,-0.6,-0.000000786
1,-0.5,-6.08667E-07
1,-0.4,-4.64333E-07
1,-0.3,-0.000000303
1,-0.2,-0.000000165
1,-0.1,-6.81333E-08
1,0,2E-10
